Descripcion;Identificador;Titulo;Año;Prevision Inicial ;IngresoClassificationPath;
  ;2020-100-  ;COMPENSACION IMPUESTO ACTIVIDADES ECONOMICAS;2020;800000;Comunidad Autónoma de La Rioja, 1 IMPUESTOS DIRECTOS, 10 SOBRE LA RENTA, 100 COMPENSACION IMPUESTO ACTIVIDADES ECONOMICAS;
  ;2020-101-  ;RECARGO SOBRE ACTIVIDADES ECONOMICAS;2020;1500000;Comunidad Autónoma de La Rioja, 101 RECARGO SOBRE ACTIVIDADES ECONOMICAS, 1 IMPUESTOS DIRECTOS, 10 SOBRE LA RENTA;
  ;2020-102-  ;TRAMO AUTONOMICO DEL I.R.P.F.;2020;340804650;Comunidad Autónoma de La Rioja, 1 IMPUESTOS DIRECTOS, 10 SOBRE LA RENTA, 102 TRAMO AUTONOMICO DEL I.R.P.F.;
01;2020-110-01;IMPUESTO SOBRE SUCESIONES;2020;18000000;Comunidad Autónoma de La Rioja, 1 IMPUESTOS DIRECTOS, 11 SOBRE EL CAPITAL, 110 IMPUESTO SOBRE SUCESIONES Y DONACIONES;
02;2020-110-02;IMPUESTO SOBRE DONACIONES;2020;3000000;Comunidad Autónoma de La Rioja, 1 IMPUESTOS DIRECTOS, 11 SOBRE EL CAPITAL, 110 IMPUESTO SOBRE SUCESIONES Y DONACIONES;
  ;2020-111-  ;IMPUESTO SOBRE EL PATRIMONIO;2020;4100000;Comunidad Autónoma de La Rioja, 1 IMPUESTOS DIRECTOS, 11 SOBRE EL CAPITAL, 111 IMPUESTO SOBRE EL PATRIMONIO;
  ;2020-113-  ;IMPUESTO SOBRE LOS DEPOSITOS EN LAS ENTIDADES DE CRÉDITO;2020;3000000;Comunidad Autónoma de La Rioja, 1 IMPUESTOS DIRECTOS, 11 SOBRE EL CAPITAL, 113 IMPUESTO SOBRE LOS DEPOSITOS EN LAS ENTIDADES DE CRÉDITO;
01;2020-200-01;SOBRE TRANSMISIONES PATRIMONIALES;2020;30000000;Comunidad Autónoma de La Rioja, 2 IMPUESTOS INDIRECTOS, 20 SOBRE TRANSMISIONES PATRIMONIALES Y ACTOS JURIDICOS DOCUMENTADOS, 200 SOBRE TRANSMISIONES PATRIMONIALES Y ACTOS JURIDICOS DOCUMENTADOS;
02;2020-200-02;SOBRE ACTOS JURIDICOS DOCUMENTADOS;2020;13000000;Comunidad Autónoma de La Rioja, 2 IMPUESTOS INDIRECTOS, 20 SOBRE TRANSMISIONES PATRIMONIALES Y ACTOS JURIDICOS DOCUMENTADOS, 200 SOBRE TRANSMISIONES PATRIMONIALES Y ACTOS JURIDICOS DOCUMENTADOS;
  ;2020-210-  ;TRIBUTOS SOBRE EL JUEGO;2020;9200000;Comunidad Autónoma de La Rioja, 2 IMPUESTOS INDIRECTOS, 21 TRIBUTOS SOBRE EL JUEGO, 210 TRIBUTOS SOBRE EL JUEGO;
  ;2020-220-  ;CANON DE SANEAMIENTO Y DEPURACION;2020;12000000;Comunidad Autónoma de La Rioja, 2 IMPUESTOS INDIRECTOS, 22 CANONES, 220 CANON DE SANEAMIENTO Y DEPURACION;
01;2020-230-01;SOBRE OPERACIONES INTERIORES;2020;269786050;Comunidad Autónoma de La Rioja, 2 IMPUESTOS INDIRECTOS, 23 SOBRE EL VALOR AÑADIDO, 230 IMPUESTO SOBRE EL VALOR AÑADIDO;
00;2020-240-00;IMPUESTO SOBRE EL ALCOHOL Y BEBIDAS DERIVADAS;2020;3128690;Comunidad Autónoma de La Rioja, 2 IMPUESTOS INDIRECTOS, 24 SOBRE CONSUMOS ESPECÍFICOS, 240 IMPUESTOS ESPECIALES;
01;2020-240-01;IMPUESTO SOBRE PRODUCTOS INTERMEDIOS;2020;78090;Comunidad Autónoma de La Rioja, 2 IMPUESTOS INDIRECTOS, 24 SOBRE CONSUMOS ESPECÍFICOS, 240 IMPUESTOS ESPECIALES;
02;2020-240-02;IMPUESTO SOBRE LA CERVEZA;2020;1271000;Comunidad Autónoma de La Rioja, 2 IMPUESTOS INDIRECTOS, 24 SOBRE CONSUMOS ESPECÍFICOS, 240 IMPUESTOS ESPECIALES;
03;2020-240-03;IMPUESTO SOBRE LAS LABORES DEL TABACO;2020;26645750;Comunidad Autónoma de La Rioja, 2 IMPUESTOS INDIRECTOS, 24 SOBRE CONSUMOS ESPECÍFICOS, 240 IMPUESTOS ESPECIALES;
04;2020-240-04;IMPUESTO SOBRE HIDROCARBUROS;2020;95595320;Comunidad Autónoma de La Rioja, 2 IMPUESTOS INDIRECTOS, 24 SOBRE CONSUMOS ESPECÍFICOS, 240 IMPUESTOS ESPECIALES;
05;2020-240-05;IMPUESTO SOBRE LA ELECTRICIDAD;2020;8952100;Comunidad Autónoma de La Rioja, 2 IMPUESTOS INDIRECTOS, 24 SOBRE CONSUMOS ESPECÍFICOS, 240 IMPUESTOS ESPECIALES;
  ;2020-280-  ;SOBRE DETERMINADOS MEDIOS DE TRANSPORTE;2020;3000000;Comunidad Autónoma de La Rioja, 2 IMPUESTOS INDIRECTOS, 28 OTROS IMPUESTOS INDIRECTOS, 280 SOBRE DETERMINADOS MEDIOS DE TRANSPORTE;
01;2020-282-01;SOBRE ELIMINACION DE RESIDUOS EN VERTEDEROS;2020;300000;Comunidad Autónoma de La Rioja, 2 IMPUESTOS INDIRECTOS, 28 OTROS IMPUESTOS INDIRECTOS, 282 IMPUESTOS MEDIOAMBIENTALES;
