Descripcion;Identificador;Titulo;Año ;Presupuesto Inicial ;Importe gastado;Programa Gasto;Gasto Classification Path;
00;2020-010100-1811-100-00;RETRIBUCIONES BASICAS;2020;1662990;56165.6;1811 ACTIVIDAD LEGISLATIVA;1 GASTOS DE PERSONAL, 10 ALTOS CARGOS, 100 RETRIBUCIONES BASICAS Y OTRAS REMUNERACIONES DE ALTOS CARGOS, Comunidad Autónoma de La Rioja;
01;2020-010100-1811-100-01;OTRAS REMUNERACIONES;2020;5979;6098.5;1811 ACTIVIDAD LEGISLATIVA;1 GASTOS DE PERSONAL, 10 ALTOS CARGOS, 100 RETRIBUCIONES BASICAS Y OTRAS REMUNERACIONES DE ALTOS CARGOS, Comunidad Autónoma de La Rioja;
00;2020-010100-1811-110-00;RETRIBUCIONES BASICAS;2020;301604;270705.6;1811 ACTIVIDAD LEGISLATIVA;1 GASTOS DE PERSONAL, 11 PERSONAL EVENTUAL, 110 RETRIB. BASICAS Y OTRAS REMUNERACIONES DE PERSONAL EVENTUAL, Comunidad Autónoma de La Rioja;
01;2020-010100-1811-110-01;OTRAS REMUNERACIONES;2020;0;0;1811 ACTIVIDAD LEGISLATIVA;1 GASTOS DE PERSONAL, 11 PERSONAL EVENTUAL, 110 RETRIB. BASICAS Y OTRAS REMUNERACIONES DE PERSONAL EVENTUAL, Comunidad Autónoma de La Rioja;
00;2020-010100-1811-120-00;SUELDO Y PAGAS EXTRAORDINARIAS;2020;392371;316440.6;1811 ACTIVIDAD LEGISLATIVA;1 GASTOS DE PERSONAL, 12 FUNCIONARIOS, 120 RETRIBUCIONES BASICAS, Comunidad Autónoma de La Rioja;
05;2020-010100-1811-120-05;TRIENIOS;2020;124010;140111.1;1811 ACTIVIDAD LEGISLATIVA;1 GASTOS DE PERSONAL, 12 FUNCIONARIOS, 120 RETRIBUCIONES BASICAS, Comunidad Autónoma de La Rioja;
00;2020-010100-1811-121-00;COMPLEMENTOS DE DESTINO;2020;238445;184402.6;1811 ACTIVIDAD LEGISLATIVA;1 GASTOS DE PERSONAL, 12 FUNCIONARIOS, 121 RETRIBUCIONES COMPLEMENTARIAS, Comunidad Autónoma de La Rioja;
01;2020-010100-1811-121-01;COMPLEMENTO ESPECIFICO;2020;492428;372639.6;1811 ACTIVIDAD LEGISLATIVA;1 GASTOS DE PERSONAL, 12 FUNCIONARIOS, 121 RETRIBUCIONES COMPLEMENTARIAS, Comunidad Autónoma de La Rioja;
04;2020-010100-1811-121-04;OTRAS REMUNERACIONES;2020;24009;0;1811 ACTIVIDAD LEGISLATIVA;1 GASTOS DE PERSONAL, 12 FUNCIONARIOS, 121 RETRIBUCIONES COMPLEMENTARIAS, Comunidad Autónoma de La Rioja;
05;2020-010100-1811-121-05;COMPLEMENTO DE DEDICACION;2020;179886;134773.1;1811 ACTIVIDAD LEGISLATIVA;1 GASTOS DE PERSONAL, 12 FUNCIONARIOS, 121 RETRIBUCIONES COMPLEMENTARIAS, Comunidad Autónoma de La Rioja;
00;2020-010100-1811-124-00;RETRIBUCION TRIBUNALES;2020;500;0;1811 ACTIVIDAD LEGISLATIVA;1 GASTOS DE PERSONAL, 12 FUNCIONARIOS, 124 RETRIBUCION TRIBUNALES, OPOSICIONES Y CONCURSOS, Comunidad Autónoma de La Rioja;
01;2020-010100-1811-124-01;RETRIBUCION OPOSICIONES Y CONCURSOS;2020;6000;0;1811 ACTIVIDAD LEGISLATIVA;1 GASTOS DE PERSONAL, 12 FUNCIONARIOS, 124 RETRIBUCION TRIBUNALES, OPOSICIONES Y CONCURSOS, Comunidad Autónoma de La Rioja;
00;2020-010100-1811-131-00;RETRIBUCIONES BASICAS;2020;34602;23263.7;1811 ACTIVIDAD LEGISLATIVA;1 GASTOS DE PERSONAL, 13 LABORALES, 131 LABORAL EVENTUAL, Comunidad Autónoma de La Rioja;
