Descripcion;Identificador;Titulo;Año;Prevision Inicial ;IngresoClassificationPath;
  ;2021-100-  ;COMPENSACION IMPUESTO ACTIVIDADES ECONOMICAS;2021;750000;Comunidad Autónoma de La Rioja, 1 IMPUESTOS DIRECTOS, 10 SOBRE LA RENTA, 100 COMPENSACION IMPUESTO ACTIVIDADES ECONOMICAS;
  ;2021-101-  ;RECARGO SOBRE ACTIVIDADES ECONOMICAS;2021;1300000;Comunidad Autónoma de La Rioja, 1 IMPUESTOS DIRECTOS, 10 SOBRE LA RENTA, 101 RECARGO SOBRE ACTIVIDADES ECONOMICAS;
  ;2021-102-  ;TRAMO AUTONOMICO DEL I.R.P.F.;2021;336251590;Comunidad Autónoma de La Rioja, 1 IMPUESTOS DIRECTOS, 10 SOBRE LA RENTA, 102 TRAMO AUTONOMICO DEL I.R.P.F.;
01;2021-110-01;IMPUESTO SOBRE SUCESIONES;2021;16457000;Comunidad Autónoma de La Rioja, 110 IMPUESTO SOBRE SUCESIONES Y DONACIONES, 1 IMPUESTOS DIRECTOS, 11 SOBRE EL CAPITAL;
02;2021-110-02;IMPUESTO SOBRE DONACIONES;2021;2743000;Comunidad Autónoma de La Rioja, 110 IMPUESTO SOBRE SUCESIONES Y DONACIONES, 1 IMPUESTOS DIRECTOS, 11 SOBRE EL CAPITAL;
  ;2021-111-  ;IMPUESTO SOBRE EL PATRIMONIO;2021;15500000;Comunidad Autónoma de La Rioja, 111 IMPUESTO SOBRE EL PATRIMONIO, 1 IMPUESTOS DIRECTOS, 11 SOBRE EL CAPITAL;
  ;2021-113-  ;IMPUESTO SOBRE LOS DEPOSITOS EN LAS ENTIDADES DE CRÉDITO;2021;3000000;Comunidad Autónoma de La Rioja, 113 IMPUESTO SOBRE LOS DEPOSITOS EN LAS ENTIDADES DE CRÉDITO, 1 IMPUESTOS DIRECTOS, 11 SOBRE EL CAPITAL;
01;2021-200-01;SOBRE TRANSMISIONES PATRIMONIALES;2021;22500000;Comunidad Autónoma de La Rioja, 2 IMPUESTOS INDIRECTOS, 200 SOBRE TRANSMISIONES PATRIMONIALES Y ACTOS JURIDICOS DOCUMENTADOS, 20 SOBRE TRANSMISIONES PATRIMONIALES Y ACTOS JURIDICOS DOCUMENTADOS;
02;2021-200-02;SOBRE ACTOS JURIDICOS DOCUMENTADOS;2021;9750000;Comunidad Autónoma de La Rioja, 2 IMPUESTOS INDIRECTOS, 200 SOBRE TRANSMISIONES PATRIMONIALES Y ACTOS JURIDICOS DOCUMENTADOS, 20 SOBRE TRANSMISIONES PATRIMONIALES Y ACTOS JURIDICOS DOCUMENTADOS;
  ;2021-210-  ;TRIBUTOS SOBRE EL JUEGO;2021;6900000;Comunidad Autónoma de La Rioja, 2 IMPUESTOS INDIRECTOS, 210 TRIBUTOS SOBRE EL JUEGO, 21 TRIBUTOS SOBRE EL JUEGO;
  ;2021-220-  ;CANON DE SANEAMIENTO Y DEPURACION;2021;9400000;Comunidad Autónoma de La Rioja, 2 IMPUESTOS INDIRECTOS, 220 CANON DE SANEAMIENTO Y DEPURACION, 22 CANONES;
01;2021-230-01;SOBRE OPERACIONES INTERIORES;2021;250146670;Comunidad Autónoma de La Rioja, 2 IMPUESTOS INDIRECTOS, 230 IMPUESTO SOBRE EL VALOR AÑADIDO, 23 SOBRE EL VALOR AÑADIDO;
00;2021-240-00;IMPUESTO SOBRE EL ALCOHOL Y BEBIDAS DERIVADAS;2021;2631740;Comunidad Autónoma de La Rioja, 24 SOBRE CONSUMOS ESPECÍFICOS, 2 IMPUESTOS INDIRECTOS, 240 IMPUESTOS ESPECIALES;
