Descripcion;Identificador;Titulo;Año ;Presupuesto Inicial ;Importe gastado;Programa Gasto;Gasto Classification Path;
00;2021-010100-1811-100-00;RETRIBUCIONES BASICAS;2021;1696205;510702.7;1811 ACTIVIDAD LEGISLATIVA;100 RETRIBUCIONES BASICAS Y OTRAS REMUNERACIONES DE ALTOS CARGOS, 10 ALTOS CARGOS, 1 GASTOS DE PERSONAL, Comunidad Autónoma de La Rioja;
01;2021-010100-1811-100-01;OTRAS REMUNERACIONES;2021;6099;7643.9;1811 ACTIVIDAD LEGISLATIVA;100 RETRIBUCIONES BASICAS Y OTRAS REMUNERACIONES DE ALTOS CARGOS, 10 ALTOS CARGOS, 1 GASTOS DE PERSONAL, Comunidad Autónoma de La Rioja;
00;2021-010100-1811-110-00;RETRIBUCIONES BASICAS;2021;307635;432215.2;1811 ACTIVIDAD LEGISLATIVA;1 GASTOS DE PERSONAL, 110 RETRIB. BASICAS Y OTRAS REMUNERACIONES DE PERSONAL EVENTUAL, 11 PERSONAL EVENTUAL, Comunidad Autónoma de La Rioja;
00;2021-010100-1811-120-00;SUELDO Y PAGAS EXTRAORDINARIAS;2021;400229;368126.2;1811 ACTIVIDAD LEGISLATIVA;1 GASTOS DE PERSONAL, 12 FUNCIONARIOS, 120 RETRIBUCIONES BASICAS, Comunidad Autónoma de La Rioja;
05;2021-010100-1811-120-05;TRIENIOS;2021;131867;140084.4;1811 ACTIVIDAD LEGISLATIVA;1 GASTOS DE PERSONAL, 12 FUNCIONARIOS, 120 RETRIBUCIONES BASICAS, Comunidad Autónoma de La Rioja;
00;2021-010100-1811-121-00;COMPLEMENTOS DE DESTINO;2021;249886;174139.7;1811 ACTIVIDAD LEGISLATIVA;1 GASTOS DE PERSONAL, 12 FUNCIONARIOS, 121 RETRIBUCIONES COMPLEMENTARIAS, Comunidad Autónoma de La Rioja;
01;2021-010100-1811-121-01;COMPLEMENTO ESPECIFICO;2021;502279;352867.6;1811 ACTIVIDAD LEGISLATIVA;1 GASTOS DE PERSONAL, 12 FUNCIONARIOS, 121 RETRIBUCIONES COMPLEMENTARIAS, Comunidad Autónoma de La Rioja;
04;2021-010100-1811-121-04;OTRAS REMUNERACIONES;2021;24009;0;1811 ACTIVIDAD LEGISLATIVA;1 GASTOS DE PERSONAL, 12 FUNCIONARIOS, 121 RETRIBUCIONES COMPLEMENTARIAS, Comunidad Autónoma de La Rioja;
05;2021-010100-1811-121-05;COMPLEMENTO DE DEDICACION;2021;183486;127207.7;1811 ACTIVIDAD LEGISLATIVA;1 GASTOS DE PERSONAL, 12 FUNCIONARIOS, 121 RETRIBUCIONES COMPLEMENTARIAS, Comunidad Autónoma de La Rioja;
00;2021-010100-1811-124-00;RETRIBUCION TRIBUNALES;2021;500;1869.3;1811 ACTIVIDAD LEGISLATIVA;1 GASTOS DE PERSONAL, 12 FUNCIONARIOS, 124 RETRIBUCION TRIBUNALES, OPOSICIONES Y CONCURSOS, Comunidad Autónoma de La Rioja;
