Descripcion;Identificador;Titulo;Año ;Presupuesto Inicial ;Importe gastado;Programa Gasto;Gasto Classification Path;
13;2023-010100-1811-227-13;PROGRAMA INFORMÁTICO ENMIENDAS PRESUPUESTOS;2023;20000;0;1811 ACTIVIDAD LEGISLATIVA;2 GASTOS EN BIENES CORRIENTES Y SERVICIOS, 22 MATERIAL, SUMINISTROS Y OTROS, 227 TRABAJOS REALIZADOS POR OTRAS EMPRESAS, Comunidad Autónoma de La Rioja;
00;2023-010100-1811-100-00;RETRIBUCIONES BÁSICAS;2023;1507634;0;1811 ACTIVIDAD LEGISLATIVA;1 GASTOS DE PERSONAL, 10 ALTOS CARGOS, 100 RETRIBUCIONES BÁSICAS Y OTRAS REMUNERACIONES DE ALTOS CARGOS, Comunidad Autónoma de La Rioja;
01;2023-010100-1811-100-01;OTRAS REMUNERACIONES;2023;6221;0;1811 ACTIVIDAD LEGISLATIVA;1 GASTOS DE PERSONAL, 10 ALTOS CARGOS, 100 RETRIBUCIONES BÁSICAS Y OTRAS REMUNERACIONES DE ALTOS CARGOS, Comunidad Autónoma de La Rioja;
00;2023-010100-1811-110-00;RETRIBUCIONES BÁSICAS;2023;616181;0;1811 ACTIVIDAD LEGISLATIVA;1 GASTOS DE PERSONAL, 110 RETRIBUCIONES BÁSICAS Y OTRAS REMUNERACIONES DE PERSONAL EVENTUAL, 11 PERSONAL EVENTUAL, Comunidad Autónoma de La Rioja;
00;2023-010100-1811-120-00;SUELDO Y PAGAS EXTRAORDINARIAS;2023;453584;0;1811 ACTIVIDAD LEGISLATIVA;1 GASTOS DE PERSONAL, 12 FUNCIONARIOS, 120 RETRIBUCIONES BÁSICAS, Comunidad Autónoma de La Rioja;
05;2023-010100-1811-120-05;TRIENIOS;2023;150098;0;1811 ACTIVIDAD LEGISLATIVA;1 GASTOS DE PERSONAL, 12 FUNCIONARIOS, 120 RETRIBUCIONES BÁSICAS, Comunidad Autónoma de La Rioja;
00;2023-010100-1811-121-00;COMPLEMENTO DE DESTINO;2023;223831;0;1811 ACTIVIDAD LEGISLATIVA;1 GASTOS DE PERSONAL, 121 RETRIBUCIONES COMPLEMENTARIAS, 12 FUNCIONARIOS, Comunidad Autónoma de La Rioja;
01;2023-010100-1811-121-01;COMPLEMENTO ESPECÍFICO;2023;519480;0;1811 ACTIVIDAD LEGISLATIVA;1 GASTOS DE PERSONAL, 121 RETRIBUCIONES COMPLEMENTARIAS, 12 FUNCIONARIOS, Comunidad Autónoma de La Rioja;
04;2023-010100-1811-121-04;OTRAS REMUNERACIONES;2023;28115;0;1811 ACTIVIDAD LEGISLATIVA;1 GASTOS DE PERSONAL, 121 RETRIBUCIONES COMPLEMENTARIAS, 12 FUNCIONARIOS, Comunidad Autónoma de La Rioja;
05;2023-010100-1811-121-05;COMPLEMENTO DE DEDICACION;2023;190533;0;1811 ACTIVIDAD LEGISLATIVA;1 GASTOS DE PERSONAL, 121 RETRIBUCIONES COMPLEMENTARIAS, 12 FUNCIONARIOS, Comunidad Autónoma de La Rioja;
00;2023-010100-1811-124-00;RETRIBUCION TRIBUNALES;2023;6000;0;1811 ACTIVIDAD LEGISLATIVA;1 GASTOS DE PERSONAL, 12 FUNCIONARIOS, 124 RETRIBUCION TRIBUNALES, OPOSICIONES Y CONCURSOS, Comunidad Autónoma de La Rioja;
01;2023-010100-1811-124-01;RETRIBUCION OPOSICIONES Y CONCURSOS;2023;1500;0;1811 ACTIVIDAD LEGISLATIVA;1 GASTOS DE PERSONAL, 12 FUNCIONARIOS, 124 RETRIBUCION TRIBUNALES, OPOSICIONES Y CONCURSOS, Comunidad Autónoma de La Rioja;
00;2023-010100-1811-131-00;RETRIBUCIONES BÁSICAS;2023;18740;0;1811 ACTIVIDAD LEGISLATIVA;1 GASTOS DE PERSONAL, 13 LABORALES, 131 LABORAL TEMPORAL, Comunidad Autónoma de La Rioja;
01;2023-010100-1811-131-01;OTRAS REMUNERACIONES;2023;12189;0;1811 ACTIVIDAD LEGISLATIVA;1 GASTOS DE PERSONAL, 13 LABORALES, 131 LABORAL TEMPORAL, Comunidad Autónoma de La Rioja;
00;2023-010100-1811-141-00;PERSONAL VARIO;2023;5000;0;1811 ACTIVIDAD LEGISLATIVA;1 GASTOS DE PERSONAL, 14 OTRO PERSONAL, 141 OTRO PERSONAL, Comunidad Autónoma de La Rioja;
00;2023-010100-1811-151-00;GRATIFICACIONES;2023;30000;0;1811 ACTIVIDAD LEGISLATIVA;15 INCENTIVOS AL RENDIMIENTO, 1 GASTOS DE PERSONAL, 151 GRATIFICACIONES, Comunidad Autónoma de La Rioja;
00;2023-010100-1811-160-00;SEGURIDAD SOCIAL;2023;1124082;0;1811 ACTIVIDAD LEGISLATIVA;1 GASTOS DE PERSONAL, 16 CUOTAS, PRESTACIONES Y GASTOS SOCIALES A CARGO DEL EMPLEADOR, 160 CUOTAS SOCIALES, Comunidad Autónoma de La Rioja;
01;2023-010100-1811-160-01;MUFACE;2023;3500;0;1811 ACTIVIDAD LEGISLATIVA;1 GASTOS DE PERSONAL, 16 CUOTAS, PRESTACIONES Y GASTOS SOCIALES A CARGO DEL EMPLEADOR, 160 CUOTAS SOCIALES, Comunidad Autónoma de La Rioja;
00;2023-010100-1811-162-00;FORMACIÓN Y PERFECCIONAMIENTO DE PERSONAL;2023;7000;0;1811 ACTIVIDAD LEGISLATIVA;1 GASTOS DE PERSONAL, 16 CUOTAS, PRESTACIONES Y GASTOS SOCIALES A CARGO DEL EMPLEADOR, 162 GASTOS SOCIALES DE FUNCIONARIOS Y PERSONAL NO LABORAL, Comunidad Autónoma de La Rioja;
05;2023-010100-1811-162-05;SEGUROS;2023;24000;0;1811 ACTIVIDAD LEGISLATIVA;1 GASTOS DE PERSONAL, 16 CUOTAS, PRESTACIONES Y GASTOS SOCIALES A CARGO DEL EMPLEADOR, 162 GASTOS SOCIALES DE FUNCIONARIOS Y PERSONAL NO LABORAL, Comunidad Autónoma de La Rioja;
09;2023-010100-1811-162-09;OTROS;2023;30000;0;1811 ACTIVIDAD LEGISLATIVA;1 GASTOS DE PERSONAL, 16 CUOTAS, PRESTACIONES Y GASTOS SOCIALES A CARGO DEL EMPLEADOR, 162 GASTOS SOCIALES DE FUNCIONARIOS Y PERSONAL NO LABORAL, Comunidad Autónoma de La Rioja;
00;2023-010100-1811-164-00;COMPLEMENTO FAMILIAR;2023;3913;0;1811 ACTIVIDAD LEGISLATIVA;1 GASTOS DE PERSONAL, 16 CUOTAS, PRESTACIONES Y GASTOS SOCIALES A CARGO DEL EMPLEADOR, 164 COMPLEMENTO FAMILIAR, Comunidad Autónoma de La Rioja;
