Descripcion;Identificador;Titulo;Año;Prevision Inicial ;IngresoClassificationPath;
00;2023-100-00;COMPENSACIÓN IMPUESTO ACTIVIDADES ECONÓMICAS;2023;965000;Comunidad Autónoma de La Rioja, 1 IMPUESTOS DIRECTOS, 100 COMPENSACIÓN IMPUESTO ACTIVIDADES ECONÓMICAS, 10 SOBRE LA RENTA;
00;2023-101-00;RECARGO SOBRE ACTIVIDADES ECONÓMICAS;2023;1600000;Comunidad Autónoma de La Rioja, 1 IMPUESTOS DIRECTOS, 10 SOBRE LA RENTA, 101 RECARGO SOBRE ACTIVIDADES ECONÓMICAS;
00;2023-102-00;TRAMO AUTONÓMICO DEL I.R.P.F.;2023;408813390;Comunidad Autónoma de La Rioja, 1 IMPUESTOS DIRECTOS, 10 SOBRE LA RENTA, 102 TRAMO AUTONÓMICO DEL I.R.P.F.;
01;2023-110-01;IMPUESTO SOBRE SUCESIONES;2023;27030000;Comunidad Autónoma de La Rioja, 1 IMPUESTOS DIRECTOS, 11 SOBRE EL CAPITAL, 110 IMPUESTO SOBRE SUCESIONES Y DONACIONES;
02;2023-110-02;IMPUESTO SOBRE DONACIONES;2023;1590000;Comunidad Autónoma de La Rioja, 1 IMPUESTOS DIRECTOS, 11 SOBRE EL CAPITAL, 110 IMPUESTO SOBRE SUCESIONES Y DONACIONES;
00;2023-111-00;IMPUESTO SOBRE EL PATRIMONIO;2023;16000000;Comunidad Autónoma de La Rioja, 1 IMPUESTOS DIRECTOS, 11 SOBRE EL CAPITAL, 111 IMPUESTO SOBRE EL PATRIMONIO;
00;2023-113-00;IMPUESTO SOBRE LOS DEPÓSITOS EN LAS ENTIDADES DE CRÉDITO;2023;3690000;Comunidad Autónoma de La Rioja, 1 IMPUESTOS DIRECTOS, 11 SOBRE EL CAPITAL, 113 IMPUESTO SOBRE LOS DEPÓSITOS EN LAS ENTIDADES DE CRÉDITO;
01;2023-200-01;SOBRE TRANSMISIONES PATRIMONIALES;2023;42582000;Comunidad Autónoma de La Rioja, 20 SOBRE TRANSMISIONES PATRIMONIALES Y ACTOS JURÍDICOS DOCUMENTADOS, 2 IMPUESTOS INDIRECTOS, 200 SOBRE TRANSMISIONES PATRIMONIALES Y ACTOS JURIDICOS DOCUMENTADOS;
02;2023-200-02;SOBRE ACTOS JURÍDICOS DOCUMENTADOS;2023;11476000;Comunidad Autónoma de La Rioja, 20 SOBRE TRANSMISIONES PATRIMONIALES Y ACTOS JURÍDICOS DOCUMENTADOS, 2 IMPUESTOS INDIRECTOS, 200 SOBRE TRANSMISIONES PATRIMONIALES Y ACTOS JURIDICOS DOCUMENTADOS;
00;2023-210-00;TRIBUTOS SOBRE EL JUEGO;2023;9931000;Comunidad Autónoma de La Rioja, 2 IMPUESTOS INDIRECTOS, 21 TRIBUTOS SOBRE EL JUEGO, 210 TRIBUTOS SOBRE EL JUEGO;
00;2023-220-00;CANON DE SANEAMIENTO Y DEPURACIÓN;2023;16777000;Comunidad Autónoma de La Rioja, 2 IMPUESTOS INDIRECTOS, 22 CÁNONES, 220 CANON DE SANEAMIENTO Y DEPURACIÓN;
01;2023-230-01;SOBRE OPERACIONES INTERIORES;2023;291048410;Comunidad Autónoma de La Rioja, 2 IMPUESTOS INDIRECTOS, 23 SOBRE EL VALOR AÑADIDO, 230 IMPUESTO SOBRE EL VALOR AÑADIDO;
00;2023-240-00;IMPUESTO SOBRE EL ALCOHOL Y BEBIDAS DERIVADAS;2023;4083460;Comunidad Autónoma de La Rioja, 2 IMPUESTOS INDIRECTOS, 24 SOBRE CONSUMOS ESPECÍFICOS, 240 IMPUESTOS ESPECIALES;
01;2023-240-01;IMPUESTO SOBRE PRODUCTOS INTERMEDIOS;2023;114600;Comunidad Autónoma de La Rioja, 2 IMPUESTOS INDIRECTOS, 24 SOBRE CONSUMOS ESPECÍFICOS, 240 IMPUESTOS ESPECIALES;
02;2023-240-02;IMPUESTO SOBRE LA CERVEZA;2023;1391640;Comunidad Autónoma de La Rioja, 2 IMPUESTOS INDIRECTOS, 24 SOBRE CONSUMOS ESPECÍFICOS, 240 IMPUESTOS ESPECIALES;
03;2023-240-03;IMPUESTO SOBRE LAS LABORES DEL TABACO;2023;27448340;Comunidad Autónoma de La Rioja, 2 IMPUESTOS INDIRECTOS, 24 SOBRE CONSUMOS ESPECÍFICOS, 240 IMPUESTOS ESPECIALES;
