Ejerc,Partida,Denominación Partida,Org_1_Sección,Org_1_Denominación,Org_1_Completa,Org_2_Servicio,Org_2_Denominación,Org_2_Completa,Org_3_Centro,Org_3_Denominación,Org_3_Completa,Func_1_Grupo,Func_1_Denominación,Func_1_Completa,Func_2_Función,Func_2_Denominación,Func_2_Completa,Func_3_Subfunción,Func_3_Denominación,Func_3_Completa,Func_4_Programa,Func_4_Denominación,Func_4_Completa,Func_5_Subprograma,Func_5_Denominación,Func_5_Completa,Ec_1_Capítulo,Ec_1_Denominación,Ec_1_Completa,Ec_2,Ec_2_Denominación,Ec_2_Completa,Ec_3,Ec_3_Denominación,Ec_3_Completa,Ec_4,Ec_4_Denominación,Ec_4_Completa,Tipo_Presupuesto,Importe,Importe M
2023,0101.1811.10000,RETRIBUCIONES BÁSICAS,01,PARLAMENTO,01 PARLAMENTO,0101,PARLAMENTO,0101 PARLAMENTO,,,,1,SERVICIOS PÚBLICOS BÁSICOS,1 SERVICIOS PÚBLICOS BÁSICOS,18,"ACTIVIDAD LEGISLATIVA, EJECUTIVA Y ASESORAMIENTO JURÍDICO","18 ACTIVIDAD LEGISLATIVA, EJECUTIVA Y ASESORAMIENTO JURÍDICO",181,ALTA DIRECCIÓN DE LA COMUNIDAD AUTÓNOMA,181 ALTA DIRECCIÓN DE LA COMUNIDAD AUTÓNOMA,1811,ACTIVIDAD LEGISLATIVA,1811 ACTIVIDAD LEGISLATIVA,,,,1,GASTOS DE PERSONAL,1 GASTOS DE PERSONAL,10,ALTOS CARGOS,10 ALTOS CARGOS,100,RETRIBUCIONES BÁSICAS Y OTRAS REMUNERACIONES DE ALTOS CARGOS,100 RETRIBUCIONES BÁSICAS Y OTRAS REMUNERACIONES DE ALTOS CARGOS,10000,RETRIBUCIONES BÁSICAS,10000 RETRIBUCIONES BÁSICAS,NO FINANCIERO,1507634,1.507634
2023,0101.1811.10001,OTRAS REMUNERACIONES,01,PARLAMENTO,01 PARLAMENTO,0101,PARLAMENTO,0101 PARLAMENTO,,,,1,SERVICIOS PÚBLICOS BÁSICOS,1 SERVICIOS PÚBLICOS BÁSICOS,18,"ACTIVIDAD LEGISLATIVA, EJECUTIVA Y ASESORAMIENTO JURÍDICO","18 ACTIVIDAD LEGISLATIVA, EJECUTIVA Y ASESORAMIENTO JURÍDICO",181,ALTA DIRECCIÓN DE LA COMUNIDAD AUTÓNOMA,181 ALTA DIRECCIÓN DE LA COMUNIDAD AUTÓNOMA,1811,ACTIVIDAD LEGISLATIVA,1811 ACTIVIDAD LEGISLATIVA,,,,1,GASTOS DE PERSONAL,1 GASTOS DE PERSONAL,10,ALTOS CARGOS,10 ALTOS CARGOS,100,RETRIBUCIONES BÁSICAS Y OTRAS REMUNERACIONES DE ALTOS CARGOS,100 RETRIBUCIONES BÁSICAS Y OTRAS REMUNERACIONES DE ALTOS CARGOS,10001,OTRAS REMUNERACIONES,10001 OTRAS REMUNERACIONES,NO FINANCIERO,6221,0.006221
2023,0101.1811.11000,RETRIBUCIONES BÁSICAS,01,PARLAMENTO,01 PARLAMENTO,0101,PARLAMENTO,0101 PARLAMENTO,,,,1,SERVICIOS PÚBLICOS BÁSICOS,1 SERVICIOS PÚBLICOS BÁSICOS,18,"ACTIVIDAD LEGISLATIVA, EJECUTIVA Y ASESORAMIENTO JURÍDICO","18 ACTIVIDAD LEGISLATIVA, EJECUTIVA Y ASESORAMIENTO JURÍDICO",181,ALTA DIRECCIÓN DE LA COMUNIDAD AUTÓNOMA,181 ALTA DIRECCIÓN DE LA COMUNIDAD AUTÓNOMA,1811,ACTIVIDAD LEGISLATIVA,1811 ACTIVIDAD LEGISLATIVA,,,,1,GASTOS DE PERSONAL,1 GASTOS DE PERSONAL,11,PERSONAL EVENTUAL,11 PERSONAL EVENTUAL,110,RETRIBUCIONES BÁSICAS Y OTRAS REMUNERACIONES DE PERSONAL EVENTUAL,110 RETRIBUCIONES BÁSICAS Y OTRAS REMUNERACIONES DE PERSONAL EVENTUAL,11000,RETRIBUCIONES BÁSICAS,11000 RETRIBUCIONES BÁSICAS,NO FINANCIERO,616181,0.616181
2023,0101.1811.12000,SUELDO Y PAGAS EXTRAORDINARIAS,01,PARLAMENTO,01 PARLAMENTO,0101,PARLAMENTO,0101 PARLAMENTO,,,,1,SERVICIOS PÚBLICOS BÁSICOS,1 SERVICIOS PÚBLICOS BÁSICOS,18,"ACTIVIDAD LEGISLATIVA, EJECUTIVA Y ASESORAMIENTO JURÍDICO","18 ACTIVIDAD LEGISLATIVA, EJECUTIVA Y ASESORAMIENTO JURÍDICO",181,ALTA DIRECCIÓN DE LA COMUNIDAD AUTÓNOMA,181 ALTA DIRECCIÓN DE LA COMUNIDAD AUTÓNOMA,1811,ACTIVIDAD LEGISLATIVA,1811 ACTIVIDAD LEGISLATIVA,,,,1,GASTOS DE PERSONAL,1 GASTOS DE PERSONAL,12,FUNCIONARIOS,12 FUNCIONARIOS,120,RETRIBUCIONES BÁSICAS,120 RETRIBUCIONES BÁSICAS,12000,SUELDO Y PAGAS EXTRAORDINARIAS,12000 SUELDO Y PAGAS EXTRAORDINARIAS,NO FINANCIERO,453584,0.453584
2023,0101.1811.12005,TRIENIOS,01,PARLAMENTO,01 PARLAMENTO,0101,PARLAMENTO,0101 PARLAMENTO,,,,1,SERVICIOS PÚBLICOS BÁSICOS,1 SERVICIOS PÚBLICOS BÁSICOS,18,"ACTIVIDAD LEGISLATIVA, EJECUTIVA Y ASESORAMIENTO JURÍDICO","18 ACTIVIDAD LEGISLATIVA, EJECUTIVA Y ASESORAMIENTO JURÍDICO",181,ALTA DIRECCIÓN DE LA COMUNIDAD AUTÓNOMA,181 ALTA DIRECCIÓN DE LA COMUNIDAD AUTÓNOMA,1811,ACTIVIDAD LEGISLATIVA,1811 ACTIVIDAD LEGISLATIVA,,,,1,GASTOS DE PERSONAL,1 GASTOS DE PERSONAL,12,FUNCIONARIOS,12 FUNCIONARIOS,120,RETRIBUCIONES BÁSICAS,120 RETRIBUCIONES BÁSICAS,12005,TRIENIOS,12005 TRIENIOS,NO FINANCIERO,150098,0.150098
2023,0101.1811.12100,COMPLEMENTO DE DESTINO,01,PARLAMENTO,01 PARLAMENTO,0101,PARLAMENTO,0101 PARLAMENTO,,,,1,SERVICIOS PÚBLICOS BÁSICOS,1 SERVICIOS PÚBLICOS BÁSICOS,18,"ACTIVIDAD LEGISLATIVA, EJECUTIVA Y ASESORAMIENTO JURÍDICO","18 ACTIVIDAD LEGISLATIVA, EJECUTIVA Y ASESORAMIENTO JURÍDICO",181,ALTA DIRECCIÓN DE LA COMUNIDAD AUTÓNOMA,181 ALTA DIRECCIÓN DE LA COMUNIDAD AUTÓNOMA,1811,ACTIVIDAD LEGISLATIVA,1811 ACTIVIDAD LEGISLATIVA,,,,1,GASTOS DE PERSONAL,1 GASTOS DE PERSONAL,12,FUNCIONARIOS,12 FUNCIONARIOS,121,RETRIBUCIONES COMPLEMENTARIAS,121 RETRIBUCIONES COMPLEMENTARIAS,12100,COMPLEMENTO DE DESTINO,12100 COMPLEMENTO DE DESTINO,NO FINANCIERO,223831,0.223831
2023,0101.1811.12101,COMPLEMENTO ESPECÍFICO,01,PARLAMENTO,01 PARLAMENTO,0101,PARLAMENTO,0101 PARLAMENTO,,,,1,SERVICIOS PÚBLICOS BÁSICOS,1 SERVICIOS PÚBLICOS BÁSICOS,18,"ACTIVIDAD LEGISLATIVA, EJECUTIVA Y ASESORAMIENTO JURÍDICO","18 ACTIVIDAD LEGISLATIVA, EJECUTIVA Y ASESORAMIENTO JURÍDICO",181,ALTA DIRECCIÓN DE LA COMUNIDAD AUTÓNOMA,181 ALTA DIRECCIÓN DE LA COMUNIDAD AUTÓNOMA,1811,ACTIVIDAD LEGISLATIVA,1811 ACTIVIDAD LEGISLATIVA,,,,1,GASTOS DE PERSONAL,1 GASTOS DE PERSONAL,12,FUNCIONARIOS,12 FUNCIONARIOS,121,RETRIBUCIONES COMPLEMENTARIAS,121 RETRIBUCIONES COMPLEMENTARIAS,12101,COMPLEMENTO ESPECÍFICO,12101 COMPLEMENTO ESPECÍFICO,NO FINANCIERO,519480,0.51948
2023,0101.1811.12104,OTRAS REMUNERACIONES,01,PARLAMENTO,01 PARLAMENTO,0101,PARLAMENTO,0101 PARLAMENTO,,,,1,SERVICIOS PÚBLICOS BÁSICOS,1 SERVICIOS PÚBLICOS BÁSICOS,18,"ACTIVIDAD LEGISLATIVA, EJECUTIVA Y ASESORAMIENTO JURÍDICO","18 ACTIVIDAD LEGISLATIVA, EJECUTIVA Y ASESORAMIENTO JURÍDICO",181,ALTA DIRECCIÓN DE LA COMUNIDAD AUTÓNOMA,181 ALTA DIRECCIÓN DE LA COMUNIDAD AUTÓNOMA,1811,ACTIVIDAD LEGISLATIVA,1811 ACTIVIDAD LEGISLATIVA,,,,1,GASTOS DE PERSONAL,1 GASTOS DE PERSONAL,12,FUNCIONARIOS,12 FUNCIONARIOS,121,RETRIBUCIONES COMPLEMENTARIAS,121 RETRIBUCIONES COMPLEMENTARIAS,12104,OTRAS REMUNERACIONES,12104 OTRAS REMUNERACIONES,NO FINANCIERO,28115,0.028115
2023,0101.1811.12105,COMPLEMENTO DE DEDICACION,01,PARLAMENTO,01 PARLAMENTO,0101,PARLAMENTO,0101 PARLAMENTO,,,,1,SERVICIOS PÚBLICOS BÁSICOS,1 SERVICIOS PÚBLICOS BÁSICOS,18,"ACTIVIDAD LEGISLATIVA, EJECUTIVA Y ASESORAMIENTO JURÍDICO","18 ACTIVIDAD LEGISLATIVA, EJECUTIVA Y ASESORAMIENTO JURÍDICO",181,ALTA DIRECCIÓN DE LA COMUNIDAD AUTÓNOMA,181 ALTA DIRECCIÓN DE LA COMUNIDAD AUTÓNOMA,1811,ACTIVIDAD LEGISLATIVA,1811 ACTIVIDAD LEGISLATIVA,,,,1,GASTOS DE PERSONAL,1 GASTOS DE PERSONAL,12,FUNCIONARIOS,12 FUNCIONARIOS,121,RETRIBUCIONES COMPLEMENTARIAS,121 RETRIBUCIONES COMPLEMENTARIAS,12105,COMPLEMENTO DE DEDICACION,12105 COMPLEMENTO DE DEDICACION,NO FINANCIERO,190533,0.190533
2023,0101.1811.12400,RETRIBUCION TRIBUNALES,01,PARLAMENTO,01 PARLAMENTO,0101,PARLAMENTO,0101 PARLAMENTO,,,,1,SERVICIOS PÚBLICOS BÁSICOS,1 SERVICIOS PÚBLICOS BÁSICOS,18,"ACTIVIDAD LEGISLATIVA, EJECUTIVA Y ASESORAMIENTO JURÍDICO","18 ACTIVIDAD LEGISLATIVA, EJECUTIVA Y ASESORAMIENTO JURÍDICO",181,ALTA DIRECCIÓN DE LA COMUNIDAD AUTÓNOMA,181 ALTA DIRECCIÓN DE LA COMUNIDAD AUTÓNOMA,1811,ACTIVIDAD LEGISLATIVA,1811 ACTIVIDAD LEGISLATIVA,,,,1,GASTOS DE PERSONAL,1 GASTOS DE PERSONAL,12,FUNCIONARIOS,12 FUNCIONARIOS,124,"RETRIBUCION TRIBUNALES, OPOSICIONES Y CONCURSOS","124 RETRIBUCION TRIBUNALES, OPOSICIONES Y CONCURSOS",12400,RETRIBUCION TRIBUNALES,12400 RETRIBUCION TRIBUNALES,NO FINANCIERO,6000,0.006
