EJERCICIO;ID_CAPITULO;DESC_CAPITULO;ID_ARTICULO;DESC_ARTICULO;ID_CONCEPTO;DESC_CONCEPTO;ID_SUBCONCEPTO;DESC_SUBCONCEPTO;PPTO_INICIAL;MODIFICACION;PPTO_DEFINITIVO;DERECHOS_RECONOCIDOS_NETOS;RECAUDACION_NETA
2018;1;Impuestos Directos;1-0;Sobre La Renta;1-0-1;Recargo Sobre Actividades Economicas;1-0-1-;; 1500000,0; 0,0; 1500000,0; 1632682,45; 1610607,25
2018;1;Impuestos Directos;1-0;Sobre La Renta;1-0-2;Tramo Autonomico Del I.R.P.F.;1-0-2-;; 263705480,0; 0,0; 263705480,0; 291813726,32; 291813726,32
2018;1;Impuestos Directos;1-1;Sobre El Capital;1-1-0;Impuesto Sobre Sucesiones Y Donaciones;1-1-0-01;Impuesto Sobre Sucesiones; 15000000,0; 0,0; 15000000,0; 14285629,87; 13897268,94
2018;1;Impuestos Directos;1-1;Sobre El Capital;1-1-0;Impuesto Sobre Sucesiones Y Donaciones;1-1-0-02;Impuesto Sobre Donaciones; 3000000,0; 0,0; 3000000,0; 1573089,15; 1354691,58
2018;1;Impuestos Directos;1-1;Sobre El Capital;1-1-1;Impuesto Sobre El Patrimonio;1-1-1-;; 8000000,0; 0,0; 8000000,0; 8070202,37; 8020217,97
2018;1;Impuestos Directos;1-1;Sobre El Capital;1-1-3;Impuesto Sobre Los Depositos En Las Entidades De Crédito;1-1-3-;; 4000000,0; 0,0; 4000000,0; 2583083,28; 2583083,28
2018;2;Impuestos Indirectos;2-0;Sobre Transmisiones Patrimoniales Y Actos Juridicos Documentados;2-0-0;Sobre Transmisiones Patrimoniales Y Actos Juridicos Documentados;2-0-0-01;Sobre Transmisiones Patrimoniales; 28000000,0; 0,0; 28000000,0; 32395260,89; 31981680,47
2018;2;Impuestos Indirectos;2-0;Sobre Transmisiones Patrimoniales Y Actos Juridicos Documentados;2-0-0;Sobre Transmisiones Patrimoniales Y Actos Juridicos Documentados;2-0-0-02;Sobre Actos Juridicos Documentados; 12000000,0; 0,0; 12000000,0; 10585519,09; 10221305,67
2018;2;Impuestos Indirectos;2-1;Tributos Sobre El Juego;2-1-0;Tributos Sobre El Juego;2-1-0-;; 9000000,0; 0,0; 9000000,0; 8794776,99; 8764496,99
2018;2;Impuestos Indirectos;2-2;Canones;2-2-0;Canon De Saneamiento Y Depuracion;2-2-0-;; 11138000,0; 0,0; 11138000,0; 10935285,43; 10545955,6
2018;2;Impuestos Indirectos;2-3;Sobre El Valor Añadido;2-3-0;Impuesto Sobre El Valor Añadido;2-3-0-01;Sobre Operaciones Interiores; 260575140,0; 0,0; 260575140,0; 267944129,62; 267944129,62
2018;2;Impuestos Indirectos;2-4;Sobre Consumos Específicos;2-4-0;Impuestos Especiales;2-4-0-00;Impuesto Sobre El Alcohol Y Bebidas Derivadas; 3862530,0; 0,0; 3862530,0; 3622179,26; 3622179,26
2018;2;Impuestos Indirectos;2-4;Sobre Consumos Específicos;2-4-0;Impuestos Especiales;2-4-0-01;Impuesto Sobre Productos Intermedios; 110210,0; 0,0; 110210,0; 113811,46; 113811,46
2018;2;Impuestos Indirectos;2-4;Sobre Consumos Específicos;2-4-0;Impuestos Especiales;2-4-0-02;Impuesto Sobre La Cerveza; 1329530,0; 0,0; 1329530,0; 1269818,8; 1269818,8
2018;2;Impuestos Indirectos;2-4;Sobre Consumos Específicos;2-4-0;Impuestos Especiales;2-4-0-03;Impuesto Sobre Las Labores Del Tabaco; 30393400,0; 0,0; 30393400,0; 30593321,95; 30593321,95
2018;2;Impuestos Indirectos;2-4;Sobre Consumos Específicos;2-4-0;Impuestos Especiales;2-4-0-04;Impuesto Sobre Hidrocarburos; 64430420,0; 0,0; 64430420,0; 68003277,61; 68003277,61
2018;2;Impuestos Indirectos;2-4;Sobre Consumos Específicos;2-4-0;Impuestos Especiales;2-4-0-05;Impuesto Sobre La Electricidad; 9767810,0; 0,0; 9767810,0; 8879908,79; 8879908,79
2018;2;Impuestos Indirectos;2-8;Otros Impuestos Indirectos;2-8-0;Sobre Determinados Medios De Transporte;2-8-0-;; 3000000,0; 0,0; 3000000,0; 4017170,74; 3674234,86
2018;2;Impuestos Indirectos;2-8;Otros Impuestos Indirectos;2-8-2;Impuestos Medioambientales;2-8-2-01;Sobre Eliminacion De Residuos En Vertederos; 400000,0; 0,0; 400000,0; 364017,48; 364017,48
2018;2;Impuestos Indirectos;2-8;Otros Impuestos Indirectos;2-8-2;Impuestos Medioambientales;2-8-2-02;Impuesto Sobre El Impacto Visual Elementos Suministro Energia Electrica; 2400000,0; 0,0; 2400000,0; 2231087,34; 2231087,34
